rule_id,jurisdiction,scenario,industry,product_type,deployment_mode,data_activity,risk_point,risk_level,trigger_condition,legal_basis,source_url,suggested_action,need_legal,need_product,owner_team,sla_days
R001,欧盟,客户数据是否用于模型训练,全部,生成式AI/AI Agent,全部,客户业务数据/知识库数据,训练数据使用边界不清,高,客户询问其输入、知识库或日志是否会用于模型训练,GDPR + EU AI Act,https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng,准备“客户数据默认不用于训练/训练需另行授权”的标准说明，补充DPA和产品数据流说明。,是,是,法务/产品/业务,3
R002,欧盟,日志留存,金融科技,AI Agent/智能客服,公有云API/专属部署,系统日志/访问日志,日志留存与审计能力不足,中高,客户需要审计、故障追踪或监管留痕,EU AI Act日志与高风险AI治理要求,https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng,准备日志留存周期、访问控制、审计导出能力和客户可配置边界说明。,是,是,产品/法务,5
R003,欧盟,数据跨境,全部,全部,公有云API,个人数据/客户数据,跨境传输机制不明确,高,客户数据从欧盟传输至非欧盟地区或云服务跨境处理,GDPR跨境传输机制,https://eur-lex.europa.eu/eli/reg/2016/679/oj,确认数据流向、处理地点、子处理方和传输机制，准备DPA/SCC或等效机制说明。,是,是,法务,5
R004,中国,内容安全与输出审核,全部,生成式AI/大模型服务,全部,模型输出内容,生成内容违法违规或不符合内容安全要求,高,向境内公众提供生成式AI服务，涉及文本/图片/音频/视频生成,生成式人工智能服务管理暂行办法,https://www.cac.gov.cn/2023-07/13/c_1690898327029107.htm,建立输出内容安全策略、投诉处理机制、生成内容标识和安全评估/备案准备材料。,是,是,法务/产品,3
R005,中国,个人信息处理,全部,AI Agent/智能客服,全部,个人信息/敏感个人信息,个人信息处理合法性不足,高,服务处理个人信息或敏感个人信息,PIPL + 生成式AI办法,https://www.gov.cn/xinwen/2021-08/20/content_5632486.htm,明确处理目的、范围、保存期限、用户权利和删除机制；必要时补充个人信息保护影响评估。,是,是,法务,5
R006,新加坡,客户数据是否用于模型训练,金融科技,生成式AI/AI Agent,公有云API,客户数据/日志,客户信任与数据使用边界风险,中高,金融科技客户要求明确数据是否进入训练集或第三方模型,Singapore AI Governance Framework + PDPA实践,https://www.pdpc.gov.sg/organisations/resources/guidance-by-topic/singapores-approach-to-ai-governance,准备数据使用边界、训练排除机制、日志用途和治理流程说明。,是,是,产品/法务,4
R007,ASEAN区域,第三方模型调用,全部,大模型统一调用/AI Agent,公有云API,第三方模型API/供应商,第三方模型供应链与数据流向不透明,中高,产品接入第三方大模型或多模型路由,ASEAN AI Governance and Ethics Guide,https://asean.org/book/asean-guide-on-ai-governance-and-ethics/,整理第三方模型清单、数据流向、子处理方说明和供应商安全评估结论。,是,是,产品/法务,5
R008,ASEAN区域,内容安全与输出审核,游戏出海/教育科技,生成式AI/AI Agent,全部,模型输出/用户生成内容,模型输出不当内容或未成年人风险,高,服务面向未成年人、教育或UGC场景,Expanded ASEAN Guide on Generative AI,https://asean.org/wp-content/uploads/2025/01/Expanded-ASEAN-Guide-on-AI-Governance-and-Ethics-Generative-AI.pdf,增加内容审核、人工复核、年龄适配和用户投诉通道；准备内容安全说明。,是,是,产品/业务,4
R009,美国,AI风险管理,全部,AI Agent/经营分析助手,全部,模型风险/算法偏差,AI风险管理体系不足,中,客户要求AI治理框架、风控流程或模型评估材料,NIST AI RMF,https://www.nist.gov/itl/ai-risk-management-framework,按Govern-Map-Measure-Manage整理AI风险管理说明、测试记录和责任分工。,否,是,产品/安全,7
R010,英国,金融科技高风险场景,金融科技,AI Agent/智能客服/经营分析助手,全部,自动化建议/客户交互,行业监管与消费者保护风险,中高,英国金融/消费者场景使用AI影响用户权益,UK AI Regulation White Paper,https://www.gov.uk/government/publications/ai-regulation-a-pro-innovation-approach/white-paper,准备透明说明、人工复核机制、问责流程和行业监管沟通材料。,是,是,法务/业务,5
