case_id,jurisdiction,case_title,case_type,related_risk,industry,summary,lesson_learned,source_url,case_date
C001,欧盟/意大利,意大利数据保护机构对ChatGPT采取临时限制措施,公开监管事件,个人数据处理/训练数据/年龄保护,生成式AI,意大利监管机构曾因隐私和个人数据处理疑虑对ChatGPT采取临时限制措施。,进入欧盟市场时，生成式AI服务必须提前准备个人数据来源、合法性基础、年龄保护、用户权利和透明告知材料。,https://www.reuters.com/technology/italy-data-protection-agency-opens-chatgpt-probe-privacy-concerns-2023-03-31/,2023-03-31
C002,巴西,巴西ANPD暂停Meta用于生成式AI训练的隐私政策调整,公开监管事件,个人数据用于模型训练,社交平台/生成式AI,巴西数据保护机构曾暂停Meta将个人数据用于生成式AI训练的相关政策变更。,在巴西或类似数据保护市场，应默认把“客户/用户数据是否用于训练”作为高风险问题，准备退出、授权、透明说明和合法性基础。,https://www.reuters.com/technology/artificial-intelligence/brazil-authority-suspends-metas-ai-privacy-policy-seeks-adjustment-2024-07-02/,2024-07-02
C003,中国,生成式AI服务监管关注传播虚假信息、个人信息权益和数据安全,官方风险说明,内容安全/个人信息/数据安全,生成式AI,CAC在发布生成式AI办法相关说明中提到生成式AI发展同时带来传播虚假信息、侵害个人信息权益、数据安全和偏见歧视等问题。,中国相关服务需要优先准备内容安全、个人信息保护、训练数据合规和用户投诉处理机制。,https://www.cac.gov.cn/2023-07/13/c_1690898326795531.htm,2023-07-13
C004,英国,英国AI监管白皮书强调按使用场景进行监管,政策风险场景,行业监管/透明公平/问责,金融科技/消费者服务,英国采取由现有监管机构按场景落实原则的路径，意味着金融、消费者、教育等行业可能分别提出不同要求。,进入英国市场时，不应只准备通用AI说明，还要按客户行业准备透明、公平、问责和救济材料。,https://www.gov.uk/government/publications/ai-regulation-a-pro-innovation-approach/white-paper,2023-03-29
C005,ASEAN区域,ASEAN生成式AI指南提示生成式AI政策和治理关注点,典型风险场景,生成式AI/内容安全/数据治理,AI出海,ASEAN扩展指南补充了生成式AI相关政策考虑，适合用于东南亚客户预警。,东南亚客户落地前应准备生成内容风险、数据治理、透明披露和滥用防控说明。,https://asean.org/wp-content/uploads/2025/01/Expanded-ASEAN-Guide-on-AI-Governance-and-Ethics-Generative-AI.pdf,2025-01
C006,新加坡,新加坡生成式AI治理框架强调治理、数据和安全评估,典型风险场景,生成式AI治理/第三方模型/安全评估,AI Agent/大模型服务,新加坡生成式AI治理框架强调责任、数据、可信开发部署和事件管理等方面。,在面向新加坡客户时，应把数据流向、第三方模型、内容来源、测试评估和事件响应作为标准材料。,https://aiverifyfoundation.sg/wp-content/uploads/2024/05/Model-AI-Governance-Framework-for-Generative-AI-May-2024-1-1.pdf,2024-05
C007,越南,越南个人数据保护法令对境外主体也可能适用,典型风险场景,个人数据处理/跨境传输,跨境云服务,越南Decree 13适用于直接参与或涉及越南个人数据处理的境内外组织。,面向越南客户时，需在售前明确数据处理角色、跨境传输、影响评估和通知备案材料。,https://vanban.chinhphu.vn/?docid=207759&pageid=27160,2023-04-17
C008,印度尼西亚,印尼AI伦理通函面向公共和私营电子系统运营者,典型风险场景,AI伦理/透明/问责,电子系统运营者/PSE,印尼AI伦理通函为公共和私营电子系统运营者提供AI伦理价值、实施和责任提示。,进入印尼市场时，建议准备AI伦理原则映射、透明说明、问责机制和数据保护说明。,https://jdih.komdigi.go.id/produk_hukum/view/id/883/t/surat%2Bedaran%2Bmenteri%2Bkomunikasi%2Bdan%2Binformatika%2Bnomor%2B9%2Btahun%2B2023,2023-12-19
C009,巴西,巴西AI法案仍在立法进程中，存在监管不确定性,立法进程预警,高风险AI/责任机制/透明度,金融科技/教育科技,巴西参议院页面显示PL 2338/2023为关于AI使用的议案，法律状态需持续追踪。,对巴西客户不应把PL 2338当作已生效法律，而应作为监管趋势和合规预备项持续监控。,https://www25.senado.leg.br/web/atividade/materias/-/materia/157233,2023-05-03
C010,韩国,韩国AI基础法实施细则需持续关注,立法实施预警,高影响AI/透明披露,高影响场景,韩国AI基础法相关说明显示需要关注可信AI、高影响AI、披露等要求。,韩国市场要持续跟踪实施细则，提前准备高影响AI识别、披露和安全治理材料。,https://www.msit.go.kr/eng/bbs/view.do?bbsSeqNo=42&mId=4&mPid=2&nttSeqNo=1071,2025/2026
