update_id,jurisdiction,law_name,source_url,detected_date,change_type,change_summary,impact_level,affected_scenarios,suggested_review_action,status
U001,ASEAN区域,Expanded ASEAN Guide on AI Governance and Ethics - Generative AI,https://asean.org/wp-content/uploads/2025/01/Expanded-ASEAN-Guide-on-AI-Governance-and-Ethics-Generative-AI.pdf,2025-01-15,新增指南,ASEAN新增生成式AI治理扩展指南，补充生成式AI相关政策考虑。,中高,生成式AI;AI Agent;内容安全;第三方模型调用,更新东南亚生成式AI风险规则和客户材料库。,已纳入v01
U002,巴西,Projeto de Lei n° 2338/2023,https://www25.senado.leg.br/web/atividade/materias/-/materia/157233,2024-12-10,立法状态变化,巴西AI法案在参议院获批并进入后续立法流程，需持续关注是否成为正式法律。,中高,巴西AI业务;高风险AI;金融科技,将巴西AI法案状态标记为立法中，后续监控议案页面。,待持续复核
U003,韩国,AI Basic Act / Framework Act on AI,https://www.msit.go.kr/eng/bbs/view.do?bbsSeqNo=42&mId=4&mPid=2&nttSeqNo=1071,2025-2026,实施准备,韩国AI基础法相关实施和细则需要持续关注。,中高,韩国客户;高影响AI;生成内容披露,跟踪MSIT公告和实施细则，补充高影响AI规则。,待持续复核
U004,越南,Decree No. 13/2023/ND-CP on Personal Data Protection,https://vanban.chinhphu.vn/?docid=207759&pageid=27160,2026-06-21,基线检查,v01中先以Decree 13作为官方数据保护来源，后续需关注PDPL及替代/细则。,高,越南个人数据;跨境传输;DPA,v02监控越南政府法令库和后续个人数据保护法更新。,待自动监控
U005,欧盟,Regulation (EU) 2024/1689 - Artificial Intelligence Act,https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng,2026-06-21,基线检查,v01确认EU AI Act官方原文链接并设为高优先级监控对象。,高,欧盟AI服务;高风险AI;通用目的AI,v02优先使用EUR-Lex API/网页hash检查。,待自动监控
AUTO-20260621115741-LAW-014,越南,Decree No. 13/2023/ND-CP on Personal Data Protection,https://vanban.chinhphu.vn/?docid=207759&pageid=27160,2026-06-21 11:56:43 UTC,疑似官方来源更新,监控字段发生变化：content_hash。本记录仅代表疑似更新，需要人工复核原文内容。,待评估,越南客户数据处理；跨境传输；客户知识库；日志留存；DPA。,打开官方来源，人工核对是否有新版本、条文修订、指南更新或发布时间变化；必要时更新法规摘要和风险规则库。,待人工复核
AUTO-20260621115808-LAW-018,巴西,Lei Geral de Proteção de Dados (LGPD),https://www.gov.br/anpd/pt-br/centrais-de-conteudo/outros-documentos-e-publicacoes-institucionais/lgpd-en-lei-no-13-709-capa.pdf,2026-06-21 11:56:43 UTC,疑似官方来源更新,监控字段发生变化：etag。本记录仅代表疑似更新，需要人工复核原文内容。,待评估,巴西客户数据处理；模型训练数据；跨境传输；DPA；客户权利响应。,打开官方来源，人工核对是否有新版本、条文修订、指南更新或发布时间变化；必要时更新法规摘要和风险规则库。,待人工复核
AUTO-20260621120950-LAW-004,英国,A pro-innovation approach to AI regulation,https://www.gov.uk/government/publications/ai-regulation-a-pro-innovation-approach/white-paper,2026-06-21 12:09:46 UTC,疑似官方来源更新,监控字段发生变化：etag。本记录仅代表疑似更新，需要人工复核原文内容。,待评估,英国客户AI落地；金融科技；消费者保护；AI透明度；行业监管沟通。,打开官方来源，人工核对是否有新版本、条文修订、指南更新或发布时间变化；必要时更新法规摘要和风险规则库。,待人工复核
AUTO-20260621120952-LAW-007,新加坡,Singapore Model AI Governance Framework / Approach to AI Governance,https://www.pdpc.gov.sg/organisations/resources/guidance-by-topic/singapores-approach-to-ai-governance,2026-06-21 12:09:46 UTC,疑似官方来源更新,监控字段发生变化：content_hash。本记录仅代表疑似更新，需要人工复核原文内容。,待评估,新加坡客户；AI Agent；客户合规问卷；治理说明材料；数据使用边界说明。,打开官方来源，人工核对是否有新版本、条文修订、指南更新或发布时间变化；必要时更新法规摘要和风险规则库。,待人工复核
AUTO-20260621121101-LAW-014,越南,Decree No. 13/2023/ND-CP on Personal Data Protection,https://vanban.chinhphu.vn/?docid=207759&pageid=27160,2026-06-21 12:09:46 UTC,疑似官方来源更新,监控字段发生变化：content_hash。本记录仅代表疑似更新，需要人工复核原文内容。,待评估,越南客户数据处理；跨境传输；客户知识库；日志留存；DPA。,打开官方来源，人工核对是否有新版本、条文修订、指南更新或发布时间变化；必要时更新法规摘要和风险规则库。,待人工复核
AUTO-20260621121110-LAW-017,巴西,Projeto de Lei n° 2338/2023 - Artificial Intelligence Bill,https://www25.senado.leg.br/web/atividade/materias/-/materia/157233,2026-06-21 12:09:46 UTC,疑似官方来源更新,监控字段发生变化：content_hash。本记录仅代表疑似更新，需要人工复核原文内容。,待评估,巴西AI业务规划；高风险AI；内容生成；金融科技；客户问卷。,打开官方来源，人工核对是否有新版本、条文修订、指南更新或发布时间变化；必要时更新法规摘要和风险规则库。,待人工复核
AUTO-20260621121111-LAW-018,巴西,Lei Geral de Proteção de Dados (LGPD),https://www.gov.br/anpd/pt-br/centrais-de-conteudo/outros-documentos-e-publicacoes-institucionais/lgpd-en-lei-no-13-709-capa.pdf,2026-06-21 12:09:46 UTC,疑似官方来源更新,监控字段发生变化：etag。本记录仅代表疑似更新，需要人工复核原文内容。,待评估,巴西客户数据处理；模型训练数据；跨境传输；DPA；客户权利响应。,打开官方来源，人工核对是否有新版本、条文修订、指南更新或发布时间变化；必要时更新法规摘要和风险规则库。,待人工复核
AUTO-20260622065929-LAW-001,欧盟,Regulation (EU) 2024/1689 - Artificial Intelligence Act,https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng,2026-06-22 06:59:29 UTC,疑似官方来源更新,监控字段发生变化：content_hash。本记录仅代表疑似更新，需要人工复核原文内容。,待评估,高风险AI场景；AI Agent；内容安全；模型透明度；日志留存；客户使用AI的责任边界。,打开官方来源，人工核对是否有新版本、条文修订、指南更新或发布时间变化；必要时更新法规摘要和风险规则库。,待人工复核
AUTO-20260622065929-LAW-002,欧盟,General Data Protection Regulation (GDPR),https://eur-lex.europa.eu/eli/reg/2016/679/oj,2026-06-22 06:59:29 UTC,疑似官方来源更新,监控字段发生变化：content_hash。本记录仅代表疑似更新，需要人工复核原文内容。,待评估,客户数据处理；日志留存；模型训练数据；跨境传输；DPA；自动化决策。,打开官方来源，人工核对是否有新版本、条文修订、指南更新或发布时间变化；必要时更新法规摘要和风险规则库。,待人工复核
AUTO-20260622065929-LAW-003,美国,NIST Artificial Intelligence Risk Management Framework (AI RMF 1.0),https://www.nist.gov/itl/ai-risk-management-framework,2026-06-22 06:59:29 UTC,疑似官方来源更新,监控字段发生变化：last_modified。本记录仅代表疑似更新，需要人工复核原文内容。,待评估,AI Agent治理；模型风险管理；客户安全问卷；内部AI治理成熟度；风险评估流程。,打开官方来源，人工核对是否有新版本、条文修订、指南更新或发布时间变化；必要时更新法规摘要和风险规则库。,待人工复核
AUTO-20260622065931-LAW-004,英国,A pro-innovation approach to AI regulation,https://www.gov.uk/government/publications/ai-regulation-a-pro-innovation-approach/white-paper,2026-06-22 06:59:29 UTC,疑似官方来源更新,监控字段发生变化：etag。本记录仅代表疑似更新，需要人工复核原文内容。,待评估,英国客户AI落地；金融科技；消费者保护；AI透明度；行业监管沟通。,打开官方来源，人工核对是否有新版本、条文修订、指南更新或发布时间变化；必要时更新法规摘要和风险规则库。,待人工复核
AUTO-20260622065934-LAW-007,新加坡,Singapore Model AI Governance Framework / Approach to AI Governance,https://www.pdpc.gov.sg/organisations/resources/guidance-by-topic/singapores-approach-to-ai-governance,2026-06-22 06:59:29 UTC,疑似官方来源更新,监控字段发生变化：content_hash。本记录仅代表疑似更新，需要人工复核原文内容。,待评估,新加坡客户；AI Agent；客户合规问卷；治理说明材料；数据使用边界说明。,打开官方来源，人工核对是否有新版本、条文修订、指南更新或发布时间变化；必要时更新法规摘要和风险规则库。,待人工复核
AUTO-20260622070045-LAW-014,越南,Decree No. 13/2023/ND-CP on Personal Data Protection,https://vanban.chinhphu.vn/?docid=207759&pageid=27160,2026-06-22 06:59:29 UTC,疑似官方来源更新,监控字段发生变化：content_hash。本记录仅代表疑似更新，需要人工复核原文内容。,待评估,越南客户数据处理；跨境传输；客户知识库；日志留存；DPA。,打开官方来源，人工核对是否有新版本、条文修订、指南更新或发布时间变化；必要时更新法规摘要和风险规则库。,待人工复核
