source_key,jurisdiction,law_name,official_url,monitoring_method,checked_at,http_status,content_type,etag,last_modified,page_title,content_hash,content_length,fetch_error,change_detected,change_fields
LAW-001,欧盟,Regulation (EU) 2024/1689 - Artificial Intelligence Act,https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng,官方网页hash + EUR-Lex API/元数据复核,2026-06-29 06:17:07 UTC,202,text/html; charset=UTF-8,,,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2035,,否,
LAW-002,欧盟,General Data Protection Regulation (GDPR),https://eur-lex.europa.eu/eli/reg/2016/679/oj,官方网页hash + EUR-Lex API/元数据复核,2026-06-29 06:17:07 UTC,202,text/html; charset=UTF-8,,,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2035,,否,
LAW-003,美国,NIST Artificial Intelligence Risk Management Framework (AI RMF 1.0),https://www.nist.gov/itl/ai-risk-management-framework,官方网页hash + PDF hash + 手动复核,2026-06-29 06:17:07 UTC,200,text/html; charset=UTF-8,,"Mon, 29 Jun 2026 03:05:38 GMT",AI Risk Management Framework | NIST,bc81b4b450d2c5c4d28946711a84fdbbbba3b676c9acd3194c140cf388819153,91895,,否,
LAW-004,英国,A pro-innovation approach to AI regulation,https://www.gov.uk/government/publications/ai-regulation-a-pro-innovation-approach/white-paper,官方网页hash + GOV.UK更新日期检查,2026-06-29 06:17:07 UTC,200,text/html; charset=utf-8,"W/""51542db782221225e3f280ad1422470f""",,A pro-innovation approach to AI regulation - GOV.UK,0a708b5686c6c185842938e7fb33ae4335943bb2e8b9d89ef63fa307f2df8632,838088,,否,
LAW-005,中国,生成式人工智能服务管理暂行办法,https://www.cac.gov.cn/2023-07/13/c_1690898327029107.htm,官方网页hash + CAC公告页监控,2026-06-29 06:17:07 UTC,200,text/html; charset=utf-8,,,生成式人工智能服务管理暂行办法_中央网络安全和信息化委员会办公室,861f399d1f7d05249b8317ee09778809bcaae4e1eec01278a8fbbabe3348ab0c,29431,,否,
LAW-006,中国,个人信息保护法（PIPL）,https://www.gov.cn/xinwen/2021-08/20/content_5632486.htm,官方网页hash + 手动复核,2026-06-29 06:17:07 UTC,404,text/html,,,ä¸­å½æ¿åºç½,4fef5ad369d78d531992ea7da3f80481e60777335be4f7589e73645b0920a404,15556,,否,
LAW-007,新加坡,Singapore Model AI Governance Framework / Approach to AI Governance,https://www.pdpc.gov.sg/organisations/resources/guidance-by-topic/singapores-approach-to-ai-governance,官方网页hash + PDF hash,2026-06-29 06:17:07 UTC,403,text/html,"""cc99b34518e2a075cc22945e5fd9c96f""","Thu, 12 Mar 2026 12:46:41 GMT",Something's wrong,399ca6700edd20018bc1ac14410cbf18e7f2a49d334b2c689d5bae9653549378,72586,,否,
LAW-008,新加坡,Model AI Governance Framework for Generative AI,https://aiverifyfoundation.sg/wp-content/uploads/2024/05/Model-AI-Governance-Framework-for-Generative-AI-May-2024-1-1.pdf,PDF hash + 官方网页复核,2026-06-29 06:17:07 UTC,200,application/pdf,"""3a2e31-63fab81f75b08""","Fri, 26 Sep 2025 03:01:52 GMT",binary_or_pdf_content,01ab29b1e24e3d832a1087bd993d9bcfd5170d26ea0c7512d1c8303cd5dc7fb6,3812913,,否,
LAW-009,ASEAN区域,ASEAN Guide on AI Governance and Ethics,https://asean.org/book/asean-guide-on-ai-governance-and-ethics/,官方网页hash + PDF hash,2026-06-29 06:17:07 UTC,307,text/html,,,You are being redirected...,7643b16f7602b15ef1bdb6aefe02768647b52f3e08dbcc6c6f81462941d09693,1303,,否,
LAW-010,ASEAN区域,Expanded ASEAN Guide on AI Governance and Ethics - Generative AI,https://asean.org/wp-content/uploads/2025/01/Expanded-ASEAN-Guide-on-AI-Governance-and-Ethics-Generative-AI.pdf,PDF hash + 官方网页复核,2026-06-29 06:17:07 UTC,200,application/pdf,"""2c59b4-62b8e18b78193""","Mon, 13 Jan 2025 03:32:40 GMT",binary_or_pdf_content,d2f9f1293e9af2f3ca4cc3954e39f94ed6fcd6b52f5e72b28d0d51fc9954ddbd,2906548,,否,
LAW-011,日本,AI Guidelines for Business Ver.1.0,https://www.meti.go.jp/english/press/2024/0419_002.html,官方网页hash + PDF hash,2026-06-29 06:17:07 UTC,,,,,,,,"ReadTimeout: HTTPSConnectionPool(host='www.meti.go.jp', port=443): Read timed out. (read timeout=30)",否,
LAW-012,韩国,AI Basic Act / Framework Act on AI,https://www.msit.go.kr/eng/bbs/view.do?bbsSeqNo=42&mId=4&mPid=2&nttSeqNo=1071,官方网页hash + 政府公告页监控,2026-06-29 06:17:07 UTC,200,text/html;charset=UTF-8,,,Press Releases - 과학기술정보통신부 >,766fdb9e0947303366090400dbd9d3b31dbd53635056d9cd0512a8174ecb1b01,54014,,否,
LAW-013,印度尼西亚,Surat Edaran Menteri Kominfo Nomor 9 Tahun 2023 tentang Etika Kecerdasan Artifisial,https://jdih.komdigi.go.id/produk_hukum/view/id/883/t/surat%2Bedaran%2Bmenteri%2Bkomunikasi%2Bdan%2Binformatika%2Bnomor%2B9%2Btahun%2B2023,官方网页hash + PDF hash + 公告页监控,2026-06-29 06:17:07 UTC,200,text/html; charset=UTF-8,,,JDIH Kemkomdigi - Surat Edaran Menteri Komunikasi dan Informatika Nomor 9 Tahun 2023,2fdc2d0ed7a419f49197b737a2e4d73ac38e3406c278aacf1d9595ab4f9e2f40,79080,,否,
LAW-014,越南,Decree No. 13/2023/ND-CP on Personal Data Protection,https://vanban.chinhphu.vn/?docid=207759&pageid=27160,官方网页hash + 政府法令库监控,2026-06-29 06:17:07 UTC,200,text/html; charset=utf-8,,,Nghị định số 13/2023/NĐ-CP của Chính phủ: Bảo vệ dữ liệu cá nhân,a2020ad68053a9f9a931923daec211c0cbe57522376052eae643e852238542c3,82793,,否,
LAW-015,马来西亚,National Guidelines on AI Governance and Ethics (AIGE),https://mastic.mosti.gov.my/publication/the-national-guidelines-on-ai-governance-ethics/,官方网页hash + PDF hash,2026-06-29 06:17:07 UTC,200,text/html; charset=UTF-8,,,"THE NATIONAL GUIDELINES ON AI GOVERNANCE & ETHICS » Malaysian Science, Technology Information Centre (MASTIC)",37b888687c861f2bdd40d94999a87185568c7a396807c8e8edf2e0caa962b208,314802,,否,
LAW-016,泰国,Thailand AI Governance Guideline for Executives,https://www.etda.or.th/getattachment/Our-Service/AIGC/Research-and-Recommendation/Thailand%E2%80%99s-AI-Governance-Guideline-for-Executive_2023.pdf.aspx?lang=th-TH,PDF hash + ETDA页面监控,2026-06-29 06:17:07 UTC,200,application/pdf,"""th-th|95f23cbf-9dd2-4ffc-aa9e-45be4c3e9dff|11/6/2023 8:10:35 AM|LiveSite""","Mon, 06 Nov 2023 08:10:35 GMT",binary_or_pdf_content,725c7a6ada05818cc75dd7c8148c8fddcbd8592300ab9fa1ec33d88c32f15254,1075843,,否,
LAW-017,巴西,Projeto de Lei n° 2338/2023 - Artificial Intelligence Bill,https://www25.senado.leg.br/web/atividade/materias/-/materia/157233,官方议案页面hash + 立法状态字段监控,2026-06-29 06:17:07 UTC,200,text/html;charset=UTF-8,,,PL 2338/2023 - Senado Federal,b1bbedbfeb6a3325858f34dd16579c913180fd25b20a9f1bbd898b0d24526ed8,644489,,否,
LAW-018,巴西,Lei Geral de Proteção de Dados (LGPD),https://www.gov.br/anpd/pt-br/centrais-de-conteudo/outros-documentos-e-publicacoes-institucionais/lgpd-en-lei-no-13-709-capa.pdf,PDF hash + ANPD页面监控,2026-06-29 06:17:07 UTC,200,text/html; charset=utf-8,"W/""357c5-0qqtFIggFz2KCFKZaTK9dtUF1k0""",,Brazilian Data Protection Law (LGPD),ecc816d4bd0559b830aea104cbf70a8bfd0eac0ce168faebfe1490c6f5e6cee2,219077,,否,
